SampleID,Target [1 for A->B; -1 otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train5185,0,4
train5186,0,4
train5187,1,1
train5188,-1,2
train5189,-1,2
train5190,0,3
train5191,-1,2
train5192,1,1
train5193,-1,2
train5194,-1,2
train5195,0,4
train5196,1,1
train5197,0,3
train5198,1,1
train5199,0,3
train5200,0,3
train5201,1,1
train5202,0,4
train5203,-1,2
train5204,1,1
train5205,0,4
train5206,0,4
train5207,1,1
train5208,0,3
train5209,0,4
train5210,-1,2
train5211,1,1
train5212,1,1
train5213,0,4
train5214,0,3
train5215,0,4
train5216,-1,2
train5217,0,4
train5218,0,3
train5219,1,1
train5220,-1,2
train5221,0,4
train5222,0,4
train5223,-1,2
train5224,1,1
train5225,0,3
train5226,-1,2
train5227,1,1
train5228,0,4
train5229,1,1
train5230,0,4
train5231,-1,2
train5232,-1,2
train5233,0,3
train5234,0,3
train5235,0,4
train5236,0,4
train5237,0,3
train5238,0,4
train5239,0,3
train5240,1,1
train5241,0,3
train5242,0,3
train5243,-1,2
train5244,0,3
train5245,0,4
train5246,1,1
train5247,0,4
train5248,0,3
train5249,0,4
train5250,0,3
train5251,0,4
train5252,-1,2
train5253,1,1
train5254,-1,2
train5255,1,1
train5256,1,1
train5257,0,4
train5258,0,3
train5259,0,4
train5260,-1,2
train5261,0,4
train5262,0,4
train5263,0,3
train5264,0,3
train5265,-1,2
train5266,-1,2
train5267,0,4
train5268,-1,2
train5269,0,4
train5270,1,1
train5271,-1,2
train5272,-1,2
train5273,0,4
train5274,1,1
train5275,0,3
train5276,1,1
train5277,-1,2
train5278,0,3
train5279,0,4
train5280,-1,2
train5281,0,3
train5282,0,3
train5283,0,4
train5284,-1,2
train5285,1,1
train5286,1,1
train5287,0,4
train5288,0,3
train5289,-1,2
train5290,0,3
train5291,0,3
train5292,1,1
train5293,1,1
train5294,0,3
train5295,0,4
train5296,1,1
train5297,1,1
train5298,-1,2
train5299,1,1
train5300,0,3
train5301,0,3
train5302,0,3
train5303,-1,2
train5304,0,4
train5305,0,4
train5306,-1,2
train5307,0,4
train5308,-1,2
train5309,0,3
train5310,1,1
train5311,-1,2
train5312,0,3
train5313,-1,2
train5314,0,3
train5315,0,4
train5316,1,1
train5317,1,1
train5318,-1,2
train5319,-1,2
train5320,0,4
train5321,0,4
train5322,0,4
train5323,-1,2
train5324,0,4
train5325,0,3
train5326,-1,2
train5327,0,3
train5328,-1,2
train5329,-1,2
train5330,1,1
train5331,0,4
train5332,1,1
train5333,-1,2
train5334,0,4
train5335,0,4
train5336,-1,2
train5337,0,3
train5338,1,1
train5339,-1,2
train5340,0,3
train5341,0,4
train5342,1,1
train5343,0,3
train5344,0,4
train5345,0,3
train5346,0,3
train5347,0,3
train5348,0,3
train5349,1,1
train5350,0,3
train5351,0,4
train5352,0,4
train5353,0,3
train5354,0,4
train5355,0,4
train5356,-1,2
train5357,0,4
train5358,0,3
train5359,-1,2
train5360,0,4
train5361,0,3
train5362,0,4
train5363,0,3
train5364,-1,2
train5365,1,1
train5366,-1,2
train5367,0,3
train5368,0,4
train5369,0,4
train5370,0,4
train5371,1,1
train5372,1,1
train5373,-1,2
train5374,0,4
train5375,-1,2
train5376,0,3
train5377,-1,2
train5378,-1,2
train5379,0,3
train5380,0,3
train5381,0,4
train5382,0,4
train5383,-1,2
train5384,0,3
train5385,0,3
train5386,-1,2
train5387,-1,2
train5388,1,1
train5389,0,4
train5390,0,3
train5391,0,3
train5392,-1,2
train5393,0,3
train5394,0,3
train5395,0,3
train5396,0,3
train5397,0,4
train5398,1,1
train5399,1,1
train5400,0,4
train5401,0,3
train5402,0,3
train5403,0,3
train5404,-1,2
train5405,-1,2
train5406,-1,2
train5407,-1,2
train5408,-1,2
train5409,0,4
train5410,0,3
train5411,1,1
train5412,1,1
train5413,-1,2
train5414,-1,2
train5415,1,1
train5416,0,3
train5417,0,3
train5418,0,4
train5419,0,4
train5420,-1,2
train5421,-1,2
train5422,1,1
train5423,-1,2
train5424,1,1
train5425,0,3
train5426,-1,2
train5427,0,4
train5428,-1,2
train5429,1,1
train5430,0,3
train5431,-1,2
train5432,0,3
train5433,0,4
train5434,1,1
train5435,-1,2
train5436,1,1
train5437,1,1
train5438,-1,2
train5439,1,1
train5440,0,4
train5441,-1,2
train5442,0,3
train5443,0,4
train5444,0,3
train5445,0,4
train5446,0,4
train5447,1,1
train5448,-1,2
train5449,0,4
train5450,1,1
train5451,1,1
train5452,1,1
train5453,1,1
train5454,0,4
train5455,0,4
train5456,0,4
train5457,0,3
train5458,0,3
train5459,0,3
train5460,1,1
train5461,0,3
train5462,0,3
train5463,0,4
train5464,0,4
train5465,0,4
train5466,1,1
train5467,-1,2
train5468,1,1
train5469,1,1
train5470,0,3
train5471,0,3
train5472,1,1
train5473,0,4
train5474,0,4
train5475,0,4
train5476,0,3
train5477,0,4
train5478,1,1
train5479,1,1
train5480,1,1
train5481,0,4
train5482,0,4
train5483,1,1
train5484,0,4
train5485,0,4
train5486,1,1
train5487,-1,2
train5488,1,1
train5489,-1,2
train5490,0,3
train5491,0,3
train5492,0,4
train5493,0,3
train5494,-1,2
train5495,-1,2
train5496,-1,2
train5497,-1,2
train5498,-1,2
train5499,1,1
train5500,0,4
train5501,0,3
train5502,-1,2
train5503,0,4
train5504,0,3
train5505,1,1
train5506,-1,2
train5507,1,1
train5508,1,1
train5509,-1,2
train5510,0,4
train5511,-1,2
train5512,0,3
train5513,0,4
train5514,-1,2
train5515,1,1
train5516,-1,2
train5517,-1,2
train5518,0,4
train5519,-1,2
train5520,1,1
train5521,1,1
train5522,0,4
train5523,0,4
train5524,0,3
train5525,0,3
train5526,0,4
train5527,-1,2
train5528,0,3
train5529,-1,2
train5530,0,4
train5531,0,4
train5532,1,1
train5533,-1,2
train5534,1,1
train5535,0,4
train5536,0,3
train5537,1,1
train5538,0,3
train5539,-1,2
train5540,0,4
train5541,-1,2
train5542,0,4
train5543,1,1
train5544,-1,2
train5545,0,4
train5546,0,3
train5547,-1,2
train5548,0,3
train5549,-1,2
train5550,-1,2
train5551,0,4
train5552,-1,2
train5553,0,3
train5554,1,1
train5555,1,1
train5556,1,1
train5557,0,4
train5558,0,4
train5559,1,1
train5560,0,3
train5561,0,3
train5562,-1,2
train5563,0,4
train5564,-1,2
train5565,0,4
train5566,-1,2
train5567,0,3
train5568,1,1
train5569,0,3
train5570,0,4
train5571,0,4
train5572,-1,2
train5573,0,3
train5574,0,3
train5575,0,4
train5576,1,1
train5577,-1,2
train5578,-1,2
train5579,1,1
train5580,0,4
train5581,0,4
train5582,0,4
train5583,0,4
train5584,0,4
train5585,0,3
train5586,0,3
train5587,-1,2
train5588,1,1
train5589,0,3
train5590,0,4
train5591,1,1
train5592,0,4
train5593,1,1
train5594,-1,2
train5595,1,1
train5596,-1,2
train5597,0,3
train5598,-1,2
train5599,-1,2
train5600,1,1
train5601,-1,2
train5602,-1,2
train5603,0,4
train5604,0,3
train5605,0,4
train5606,0,3
train5607,-1,2
train5608,-1,2
train5609,1,1
train5610,0,3
train5611,0,3
train5612,1,1
train5613,-1,2
train5614,0,4
train5615,1,1
train5616,1,1
train5617,1,1
train5618,1,1
train5619,0,4
train5620,1,1
train5621,0,3
train5622,0,3
train5623,0,3
train5624,0,4
train5625,0,3
train5626,1,1
train5627,0,3
train5628,0,3
train5629,0,4
train5630,1,1
train5631,-1,2
train5632,1,1
train5633,1,1
train5634,0,3
train5635,0,3
train5636,0,4
train5637,0,4
train5638,-1,2
train5639,0,3
train5640,-1,2
train5641,0,4
train5642,1,1
train5643,1,1
train5644,1,1
train5645,-1,2
train5646,0,3
train5647,1,1
train5648,0,4
train5649,1,1
train5650,-1,2
train5651,0,4
train5652,-1,2
train5653,1,1
train5654,1,1
train5655,-1,2
train5656,-1,2
train5657,-1,2
train5658,0,3
train5659,0,3
train5660,0,4
train5661,1,1
train5662,1,1
train5663,1,1
train5664,0,3
train5665,0,3
train5666,1,1
train5667,-1,2
train5668,0,4
train5669,-1,2
train5670,1,1
train5671,0,3
train5672,0,4
train5673,0,3
train5674,1,1
train5675,0,3
train5676,1,1
train5677,1,1
train5678,1,1
train5679,-1,2
train5680,0,3
train5681,0,3
train5682,-1,2
train5683,1,1
train5684,0,4
train5685,0,3
train5686,1,1
train5687,-1,2
train5688,0,3
train5689,-1,2
train5690,-1,2
train5691,1,1
train5692,0,4
train5693,1,1
train5694,0,4
train5695,0,4
train5696,-1,2
train5697,0,3
train5698,0,3
train5699,0,4
train5700,1,1
train5701,0,3
train5702,1,1
train5703,0,4
train5704,1,1
train5705,1,1
train5706,-1,2
train5707,-1,2
train5708,1,1
train5709,0,4
train5710,1,1
train5711,0,3
train5712,-1,2
train5713,0,4
train5714,0,4
train5715,0,4
train5716,0,4
train5717,-1,2
train5718,0,3
train5719,1,1
train5720,0,3
train5721,0,4
train5722,0,4
train5723,0,3
train5724,-1,2
train5725,1,1
train5726,-1,2
train5727,-1,2
train5728,1,1
train5729,0,4
train5730,0,3
train5731,0,3
train5732,-1,2
train5733,1,1
train5734,0,4
train5735,0,4
train5736,0,3
train5737,0,3
train5738,-1,2
train5739,0,3
train5740,0,3
train5741,1,1
train5742,-1,2
train5743,-1,2
train5744,1,1
train5745,0,3
train5746,0,3
train5747,-1,2
train5748,0,4
train5749,0,4
train5750,1,1
train5751,1,1
train5752,0,4
train5753,0,3
train5754,0,3
train5755,1,1
train5756,-1,2
train5757,0,4
train5758,1,1
train5759,1,1
train5760,0,3
train5761,-1,2
train5762,0,3
train5763,0,3
train5764,-1,2
train5765,1,1
train5766,0,4
train5767,0,4
train5768,0,4
train5769,0,4
train5770,0,4
train5771,0,3
train5772,1,1
train5773,0,3
train5774,1,1
train5775,0,3
train5776,0,4
train5777,0,4
train5778,0,3
train5779,0,3
train5780,0,3
train5781,-1,2
train5782,0,4
train5783,0,4
train5784,0,4
train5785,0,4
train5786,1,1
train5787,0,3
train5788,0,3
train5789,-1,2
train5790,0,4
train5791,0,3
train5792,0,3
train5793,1,1
train5794,-1,2
train5795,0,4
train5796,0,3
train5797,0,3
train5798,1,1
train5799,0,4
train5800,0,4
train5801,-1,2
train5802,1,1
train5803,1,1
train5804,1,1
train5805,0,3
train5806,-1,2
train5807,0,3
train5808,-1,2
train5809,0,4
train5810,1,1
train5811,-1,2
train5812,0,4
train5813,1,1
train5814,-1,2
train5815,1,1
train5816,0,4
train5817,0,4
train5818,1,1
train5819,1,1
train5820,0,4
train5821,1,1
train5822,1,1
train5823,0,4
train5824,1,1
train5825,0,4
train5826,0,4
train5827,-1,2
train5828,0,4
train5829,1,1
train5830,0,3
train5831,1,1
train5832,-1,2
train5833,-1,2
train5834,0,4
train5835,0,4
train5836,0,4
train5837,0,3
train5838,0,4
train5839,0,3
train5840,0,3
train5841,1,1
train5842,0,3
train5843,-1,2
train5844,0,4
train5845,-1,2
train5846,-1,2
train5847,0,4
train5848,-1,2
train5849,0,3
train5850,0,4
train5851,0,3
train5852,-1,2
train5853,0,3
train5854,-1,2
train5855,-1,2
train5856,0,4
train5857,0,3
train5858,-1,2
train5859,-1,2
train5860,-1,2
train5861,0,4
train5862,1,1
train5863,0,3
train5864,0,4
train5865,1,1
train5866,-1,2
train5867,0,4
train5868,1,1
train5869,0,3
train5870,0,4
train5871,-1,2
train5872,-1,2
train5873,-1,2
train5874,1,1
train5875,1,1
train5876,0,4
train5877,1,1
train5878,-1,2
train5879,0,3
train5880,0,3
train5881,0,4
train5882,-1,2
train5883,-1,2
train5884,1,1
train5885,1,1
train5886,-1,2
train5887,0,4
train5888,0,3
train5889,-1,2
train5890,0,4
train5891,0,4
train5892,1,1
train5893,-1,2
train5894,0,3
train5895,1,1
train5896,0,3
train5897,-1,2
train5898,-1,2
train5899,-1,2
train5900,0,4
train5901,0,3
train5902,-1,2
train5903,0,3
train5904,-1,2
train5905,1,1
train5906,-1,2
train5907,-1,2
train5908,-1,2
train5909,1,1
train5910,-1,2
train5911,0,3
train5912,1,1
train5913,-1,2
train5914,1,1
train5915,0,4
train5916,1,1
train5917,0,4
train5918,-1,2
train5919,1,1
train5920,-1,2
train5921,-1,2
train5922,0,4
train5923,1,1
train5924,0,3
train5925,0,4
train5926,0,4
train5927,0,3
train5928,1,1
train5929,0,4
train5930,0,3
train5931,1,1
train5932,0,4
train5933,0,4
train5934,-1,2
train5935,0,3
train5936,0,3
train5937,0,4
train5938,0,4
train5939,0,4
train5940,1,1
train5941,0,3
train5942,0,4
train5943,0,3
train5944,0,3
train5945,-1,2
train5946,0,4
train5947,1,1
train5948,0,4
train5949,-1,2
train5950,0,3
train5951,-1,2
train5952,-1,2
train5953,1,1
train5954,-1,2
train5955,0,3
train5956,1,1
train5957,-1,2
train5958,-1,2
train5959,0,4
train5960,0,3
train5961,-1,2
train5962,-1,2
train5963,0,4
train5964,1,1
train5965,-1,2
train5966,0,4
train5967,1,1
train5968,0,4
train5969,0,4
train5970,0,4
train5971,1,1
train5972,-1,2
train5973,-1,2
train5974,0,3
train5975,0,4
train5976,-1,2
train5977,0,3
train5978,-1,2
train5979,0,3
train5980,1,1
train5981,0,4
train5982,0,3
train5983,0,3
train5984,0,4
train5985,1,1
train5986,0,4
train5987,1,1
train5988,0,4
train5989,0,4
train5990,1,1
train5991,0,4
train5992,1,1
train5993,1,1
train5994,0,3
train5995,1,1
train5996,1,1
train5997,1,1
train5998,0,3
